2024-09-14 13:02:46 configure ncurses-base:all 6.4-4 <none>
2024-09-14 13:02:46 status unpacked ncurses-base:all 6.4-4
2024-09-14 13:02:46 status half-configured ncurses-base:all 6.4-4
2024-09-14 13:02:46 status installed ncurses-base:all 6.4-4
2024-09-14 13:02:46 configure init-system-helpers:all 1.65.2 <none>
2024-09-14 13:02:46 status unpacked init-system-helpers:all 1.65.2
2024-09-14 13:02:46 status half-configured init-system-helpers:all 1.65.2
2024-09-14 13:02:46 status installed init-system-helpers:all 1.65.2
2024-09-14 13:02:46 configure libgcc-s1:amd64 12.2.0-14 <none>
2024-09-14 13:02:46 status unpacked libgcc-s1:amd64 12.2.0-14
2024-09-14 13:02:46 status half-configured libgcc-s1:amd64 12.2.0-14
2024-09-14 13:02:46 status installed libgcc-s1:amd64 12.2.0-14
2024-09-14 13:02:46 configure libc6:amd64 2.36-9+deb12u8 <none>
2024-09-14 13:02:46 status unpacked libc6:amd64 2.36-9+deb12u8
2024-09-14 13:02:46 status half-configured libc6:amd64 2.36-9+deb12u8
2024-09-14 13:02:46 status installed libc6:amd64 2.36-9+deb12u8
2024-09-14 13:02:46 configure libudev1:amd64 252.30-1~deb12u2 <none>
2024-09-14 13:02:46 status unpacked libudev1:amd64 252.30-1~deb12u2
